"Spieltag","Spiel","Paarung","Heim","Ausw","Erg","Tipp","Tipper","Pkt","Pkt_","HeimTore","AuswTore","TorDiff","TorDiff_abs","HeimTipp","AuswTipp","TippDiff","TippDiff_abs"
"2","8","FC Ingolstadt - Borussia Dortmund","FC Ingolstadt","Borussia Dortmund","0:4","0:2","Chris",2,2,0,4,-4,4,0,2,-2,2
"2","8","FC Ingolstadt - Borussia Dortmund","FC Ingolstadt","Borussia Dortmund","0:4","1:3","phil4delphia",2,2,0,4,-4,4,1,3,-2,2
"2","8","FC Ingolstadt - Borussia Dortmund","FC Ingolstadt","Borussia Dortmund","0:4","1:1","Schmonkey",0,0,0,4,-4,4,1,1,0,0
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","3:1","Marc",4,4,3,1,2,2,3,1,2,2
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","2:0","Kryztianov",3,3,3,1,2,2,2,0,2,2
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","3:0","GesuSan",2,2,3,1,2,2,3,0,3,3
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","2:0","AJ",3,3,3,1,2,2,2,0,2,2
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","2:0","Chris",3,3,3,1,2,2,2,0,2,2
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","4:0","phil4delphia",2,2,3,1,2,2,4,0,4,4
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","4:0","BastiS.",2,2,3,1,2,2,4,0,4,4
"3","8","Borussia Dortmund - Hertha BSC","Borussia Dortmund","Hertha BSC","3:1","3:0","Schmonkey",2,2,3,1,2,2,3,0,3,3
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","1:0","Marc",0,0,1,3,-2,2,1,0,1,1
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","1:0","GesuSan",0,0,1,3,-2,2,1,0,1,1
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","0:1","AJ",2,2,1,3,-2,2,0,1,-1,1
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","1:1","Kryztianov",0,0,1,3,-2,2,1,1,0,0
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","1:0","Chris",0,0,1,3,-2,2,1,0,1,1
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","2:0","BastiS.",0,0,1,3,-2,2,2,0,2,2
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","1:1","phil4delphia",0,0,1,3,-2,2,1,1,0,0
"4","8","1899 Hoffenheim - Werder Bremen","1899 Hoffenheim","Werder Bremen","1:3","3:1","Schmonkey",0,0,1,3,-2,2,3,1,2,2
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","2:0","GesuSan",4,4,2,0,2,2,2,0,2,2
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","2:0","Kryztianov",4,4,2,0,2,2,2,0,2,2
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","2:1","Marc",2,2,2,0,2,2,2,1,1,1
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","2:0","Chris",4,4,2,0,2,2,2,0,2,2
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","1:1","AJ",0,0,2,0,2,2,1,1,0,0
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","1:0","phil4delphia",2,2,2,0,2,2,1,0,1,1
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","3:1","BastiS.",3,3,2,0,2,2,3,1,2,2
"5","8","FC Augsburg - Hannover 96","FC Augsburg","Hannover 96","2:0","1:1","Schmonkey",0,0,2,0,2,2,1,1,0,0
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","2:1","GesuSan",3,3,1,0,1,1,2,1,1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","2:1","Chris",3,3,1,0,1,1,2,1,1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","2:1","Kryztianov",3,3,1,0,1,1,2,1,1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","2:0","Marc",2,2,1,0,1,1,2,0,2,2
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","2:1","AJ",3,3,1,0,1,1,2,1,1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","1:2","Schmonkey",0,0,1,0,1,1,1,2,-1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","3:2","phil4delphia",3,3,1,0,1,1,3,2,1,1
"6","8","Bayer 04 Leverkusen - FSV Mainz 05","Bayer 04 Leverkusen","FSV Mainz 05","1:0","3:1","BastiS.",2,2,1,0,1,1,3,1,2,2
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","1:0","GesuSan",0,0,1,1,0,0,1,0,1,1
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","2:0","Chris",0,0,1,1,0,0,2,0,2,2
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","2:1","Marc",0,0,1,1,0,0,2,1,1,1
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","2:2","Kryztianov",2,2,1,1,0,0,2,2,0,0
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","1:0","AJ",0,0,1,1,0,0,1,0,1,1
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","3:0","BastiS.",0,0,1,1,0,0,3,0,3,3
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","3:1","Schmonkey",0,0,1,1,0,0,3,1,2,2
"7","8","Eintracht Frankfurt - Hertha BSC","Eintracht Frankfurt","Hertha BSC","1:1","2:1","phil4delphia",0,0,1,1,0,0,2,1,1,1
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","1:2","GesuSan",0,0,5,1,4,4,1,2,-1,1
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:1","Marc",2,2,5,1,4,4,2,1,1,1
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","3:1","Chris",2,2,5,1,4,4,3,1,2,2
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:1","Kryztianov",2,2,5,1,4,4,2,1,1,1
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:0","Schmonkey",2,2,5,1,4,4,2,0,2,2
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:1","AJ",2,2,5,1,4,4,2,1,1,1
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:0","phil4delphia",2,2,5,1,4,4,2,0,2,2
"8","8","FC Bayern München - Borussia Dortmund","FC Bayern München","Borussia Dortmund","5:1","2:3","BastiS.",0,0,5,1,4,4,2,3,-1,1
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:1","GesuSan",0,0,0,1,-1,1,2,1,1,1
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:1","Marc",0,0,0,1,-1,1,2,1,1,1
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:0","Chris",0,0,0,1,-1,1,2,0,2,2
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:1","Schmonkey",0,0,0,1,-1,1,2,1,1,1
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:0","Kryztianov",0,0,0,1,-1,1,2,0,2,2
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:0","AJ",0,0,0,1,-1,1,2,0,2,2
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","1:0","phil4delphia",0,0,0,1,-1,1,1,0,1,1
"9","8","1. FC Köln - Hannover 96","1. FC Köln","Hannover 96","0:1","2:0","BastiS.",0,0,0,1,-1,1,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","GesuSan",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","Chris",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","Marc",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","Schmonkey",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","Kryztianov",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","2:0","AJ",2,2,5,1,4,4,2,0,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","3:1","BastiS.",2,2,5,1,4,4,3,1,2,2
"10","8","Borussia Dortmund - FC Augsburg","Borussia Dortmund","FC Augsburg","5:1","4:1","phil4delphia",2,2,5,1,4,4,4,1,3,3
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","0:1","GesuSan",0,0,2,0,2,2,0,1,-1,1
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","2:0","Marc",4,4,2,0,2,2,2,0,2,2
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","2:1","Schmonkey",2,2,2,0,2,2,2,1,1,1
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","1:0","Chris",2,2,2,0,2,2,1,0,1,1
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","1:1","Kryztianov",0,0,2,0,2,2,1,1,0,0
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","3:1","AJ",3,3,2,0,2,2,3,1,2,2
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","3:1","phil4delphia",3,3,2,0,2,2,3,1,2,2
"11","8","VfB Stuttgart - SV Darmstadt 98","VfB Stuttgart","SV Darmstadt 98","2:0","1:1","BastiS.",0,0,2,0,2,2,1,1,0,0
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","2:1","GesuSan",3,3,3,2,1,1,2,1,1,1
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","2:0","Marc",2,2,3,2,1,1,2,0,2,2
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","3:0","Schmonkey",2,2,3,2,1,1,3,0,3,3
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","3:0","Chris",2,2,3,2,1,1,3,0,3,3
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","3:1","Kryztianov",2,2,3,2,1,1,3,1,2,2
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","3:1","AJ",2,2,3,2,1,1,3,1,2,2
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","3:1","phil4delphia",2,2,3,2,1,1,3,1,2,2
"12","8","Borussia Dortmund - FC Schalke 04","Borussia Dortmund","FC Schalke 04","3:2","2:0","BastiS.",2,2,3,2,1,1,2,0,2,2
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","2:0","GesuSan",2,2,1,0,1,1,2,0,2,2
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","1:0","Schmonkey",4,4,1,0,1,1,1,0,1,1
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","1:1","Marc",0,0,1,0,1,1,1,1,0,0
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","1:0","Chris",4,4,1,0,1,1,1,0,1,1
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","1:0","Kryztianov",4,4,1,0,1,1,1,0,1,1
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","0:1","AJ",0,0,1,0,1,1,0,1,-1,1
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","2:1","phil4delphia",3,3,1,0,1,1,2,1,1,1
"13","8","Hertha BSC - 1899 Hoffenheim","Hertha BSC","1899 Hoffenheim","1:0","1:0","BastiS.",4,4,1,0,1,1,1,0,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","1:0","GesuSan",0,0,1,1,0,0,1,0,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","3:2","Schmonkey",0,0,1,1,0,0,3,2,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","2:1","Marc",0,0,1,1,0,0,2,1,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","1:0","Chris",0,0,1,1,0,0,1,0,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","2:1","phil4delphia",0,0,1,1,0,0,2,1,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","2:1","Kryztianov",0,0,1,1,0,0,2,1,1,1
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","0:2","AJ",0,0,1,1,0,0,0,2,-2,2
"14","8","Bayer 04 Leverkusen - FC Schalke 04","Bayer 04 Leverkusen","FC Schalke 04","1:1","3:2","BastiS.",0,0,1,1,0,0,3,2,1,1
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","0:1","GesuSan",0,0,1,1,0,0,0,1,-1,1
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","1:0","Schmonkey",0,0,1,1,0,0,1,0,1,1
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","2:0","Marc",0,0,1,1,0,0,2,0,2,2
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","0:1","Chris",0,0,1,1,0,0,0,1,-1,1
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","1:1","Kryztianov",4,4,1,1,0,0,1,1,0,0
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","3:1","phil4delphia",0,0,1,1,0,0,3,1,2,2
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","0:1","AJ",0,0,1,1,0,0,0,1,-1,1
"15","8","VfB Stuttgart - Werder Bremen","VfB Stuttgart","Werder Bremen","1:1","2:0","BastiS.",0,0,1,1,0,0,2,0,2,2
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","0:1","GesuSan",2,2,1,3,-2,2,0,1,-1,1
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","1:1","Marc",0,0,1,3,-2,2,1,1,0,0
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","1:1","AJ",0,0,1,3,-2,2,1,1,0,0
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","1:1","BastiS.",0,0,1,3,-2,2,1,1,0,0
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","1:1","Kryztianov",0,0,1,3,-2,2,1,1,0,0
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","2:0","phil4delphia",0,0,1,3,-2,2,2,0,2,2
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","0:0","Chris",0,0,1,3,-2,2,0,0,0,0
"1","9","VfB Stuttgart - 1. FC Köln","VfB Stuttgart","1. FC Köln","1:3","2:0","Schmonkey",0,0,1,3,-2,2,2,0,2,2
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","2:1","Marc",0,0,1,2,-1,1,2,1,1,1
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","2:1","GesuSan",0,0,1,2,-1,1,2,1,1,1
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","2:1","Kryztianov",0,0,1,2,-1,1,2,1,1,1
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","1:0","AJ",0,0,1,2,-1,1,1,0,1,1
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","3:1","BastiS.",0,0,1,2,-1,1,3,1,2,2
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","1:0","Chris",0,0,1,2,-1,1,1,0,1,1
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","2:0","phil4delphia",0,0,1,2,-1,1,2,0,2,2
"2","9","Bor. Mönchengladbach - FSV Mainz 05","Bor. Mönchengladbach","FSV Mainz 05","1:2","2:0","Schmonkey",0,0,1,2,-1,1,2,0,2,2
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","1:1","Marc",0,0,2,1,1,1,1,1,0,0
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","1:2","Kryztianov",0,0,2,1,1,1,1,2,-1,1
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","0:1","GesuSan",0,0,2,1,1,1,0,1,-1,1
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","0:1","AJ",0,0,2,1,1,1,0,1,-1,1
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","1:1","Chris",0,0,2,1,1,1,1,1,0,0
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","1:1","phil4delphia",0,0,2,1,1,1,1,1,0,0
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","2:2","BastiS.",0,0,2,1,1,1,2,2,0,0
"3","9","Werder Bremen - Bor. Mönchengladbach","Werder Bremen","Bor. Mönchengladbach","2:1","2:2","Schmonkey",0,0,2,1,1,1,2,2,0,0
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","1:0","Marc",3,3,2,1,1,1,1,0,1,1
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","1:0","GesuSan",3,3,2,1,1,1,1,0,1,1
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","2:1","AJ",4,4,2,1,1,1,2,1,1,1
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","2:2","Kryztianov",0,0,2,1,1,1,2,2,0,0
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","2:1","Chris",4,4,2,1,1,1,2,1,1,1
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","1:0","BastiS.",3,3,2,1,1,1,1,0,1,1
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","2:2","phil4delphia",0,0,2,1,1,1,2,2,0,0
"4","9","FC Schalke 04 - FSV Mainz 05","FC Schalke 04","FSV Mainz 05","2:1","1:1","Schmonkey",0,0,2,1,1,1,1,1,0,0
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","2:1","GesuSan",2,2,3,0,3,3,2,1,1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","2:1","Kryztianov",2,2,3,0,3,3,2,1,1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","1:2","Marc",0,0,3,0,3,3,1,2,-1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","2:1","Chris",2,2,3,0,3,3,2,1,1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","1:0","AJ",2,2,3,0,3,3,1,0,1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","3:2","phil4delphia",2,2,3,0,3,3,3,2,1,1
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","2:0","BastiS.",2,2,3,0,3,3,2,0,2,2
"5","9","Borussia Dortmund - Bayer 04 Leverkusen","Borussia Dortmund","Bayer 04 Leverkusen","3:0","3:1","Schmonkey",2,2,3,0,3,3,3,1,2,2
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","0:1","GesuSan",2,2,1,3,-2,2,0,1,-1,1
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","0:0","Chris",0,0,1,3,-2,2,0,0,0,0
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","0:1","Kryztianov",2,2,1,3,-2,2,0,1,-1,1
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","1:2","Marc",2,2,1,3,-2,2,1,2,-1,1
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","0:2","AJ",3,3,1,3,-2,2,0,2,-2,2
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","2:1","Schmonkey",0,0,1,3,-2,2,2,1,1,1
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","2:1","phil4delphia",0,0,1,3,-2,2,2,1,1,1
"6","9","Hannover 96 - VfB Stuttgart","Hannover 96","VfB Stuttgart","1:3","2:1","BastiS.",0,0,1,3,-2,2,2,1,1,1
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","2:0","GesuSan",0,0,2,2,0,0,2,0,2,2
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","2:0","Chris",0,0,2,2,0,0,2,0,2,2
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","3:0","Marc",0,0,2,2,0,0,3,0,3,3
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","3:0","Kryztianov",0,0,2,2,0,0,3,0,3,3
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","2:0","AJ",0,0,2,2,0,0,2,0,2,2
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","2:0","BastiS.",0,0,2,2,0,0,2,0,2,2
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","2:0","Schmonkey",0,0,2,2,0,0,2,0,2,2
"7","9","Borussia Dortmund - SV Darmstadt 98","Borussia Dortmund","SV Darmstadt 98","2:2","3:0","phil4delphia",0,0,2,2,0,0,3,0,3,3
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","2:0","GesuSan",0,0,1,1,0,0,2,0,2,2
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","2:0","Marc",0,0,1,1,0,0,2,0,2,2
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","2:0","Chris",0,0,1,1,0,0,2,0,2,2
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","2:0","Kryztianov",0,0,1,1,0,0,2,0,2,2
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","3:0","Schmonkey",0,0,1,1,0,0,3,0,3,3
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","1:0","AJ",0,0,1,1,0,0,1,0,1,1
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","3:1","phil4delphia",0,0,1,1,0,0,3,1,2,2
"8","9","Bayer 04 Leverkusen - FC Augsburg","Bayer 04 Leverkusen","FC Augsburg","1:1","3:1","BastiS.",0,0,1,1,0,0,3,1,2,2
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","0:1","GesuSan",0,0,1,0,1,1,0,1,-1,1
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","2:1","Marc",3,3,1,0,1,1,2,1,1,1
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","1:0","Chris",4,4,1,0,1,1,1,0,1,1
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","1:0","Schmonkey",4,4,1,0,1,1,1,0,1,1
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","2:2","Kryztianov",0,0,1,0,1,1,2,2,0,0
"9","9","VfB Stuttgart - FC Ingolstadt","VfB Stuttgart","FC Ingolstadt","1:0","1:1","AJ",0,0,1,0,1,1,1,1,0,0
